,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
50,50,High Stakes Poker,2006,,9.0,60 ,1214,"Game-Show, Reality-TV, Sport",,Game-Show
51,51,Roadfood,2021,,9.0,20 ,1579,Documentary,,Documentary
52,52,Every Frame a Painting,2014,2016,9.0,,1153,"Documentary, History, Talk-Show",,Documentary
53,53,Better Call Saul,2015,2022,8.9,46 ,547899,"Crime, Drama",TV-MA,Crime
54,54,Friends,1994,2004,8.9,22 ,1008919,"Comedy, Romance",TV-14,Comedy
55,55,True Detective,2014,2019,8.9,55 ,580352,"Crime, Drama, Mystery",TV-MA,Crime
56,56,Seinfeld,1989,1998,8.9,22 ,324768,Comedy,TV-PG,Comedy
57,57,Fargo,2014,,8.9,53 ,378046,"Crime, Drama, Thriller",TV-MA,Crime
58,58,The West Wing,1999,2006,8.9,44 ,78742,Drama,TV-14,Drama
59,59,Gravity Falls,2012,2016,8.9,23 ,112944,"Animation, Action, Adventure",TV-Y7,Animation
60,60,Last Week Tonight with John Oliver,2014,,8.9,30 ,90400,"Comedy, History, News",TV-MA,Comedy
61,61,Nathan for You,2013,2017,8.9,30 ,32369,"Documentary, Comedy",TV-14,Documentary
62,62,The Traitors,2022,,8.9,59 ,2218,"Game-Show, Reality-TV",,Game-Show
63,63,Still Game,2002,2019,8.9,30 ,8292,Comedy,TV-14,Comedy
64,64,Hey Duggee,2014,,8.9,7 ,1203,"Animation, Comedy, Family",TV-Y,Animation
65,65,The Test: A New Era for Australia's Team,2020,2023,8.9,52 ,3337,"Documentary, Sport",TV-14,Documentary
66,66,Joe Pera Talks with You,2018,2021,8.9,11 ,2935,Comedy,TV-PG,Comedy
67,67,How the Universe Works,2010,,8.9,60 ,6914,Documentary,TV-PG,Documentary
68,68,Homefront,1991,1993,8.9,60 ,1284,"Drama, History, Romance",,Drama
69,69,Leah Remini: Scientology and the Aftermath,2016,2019,8.9,47 ,6178,"Documentary, History, Mystery",TV-14,Documentary
70,70,Good Eats,1999,2012,8.9,30 ,3811,"Documentary, Comedy",TV-G,Documentary
71,71,Tiny World,2020,,8.9,30 ,2286,Documentary,TV-G,Documentary
72,72,Mortimer & Whitehouse: Gone Fishing,2018,,8.9,30 ,1426,"Comedy, Reality-TV",,Comedy
73,73,Departures,2008,,8.9,46 ,2245,"Documentary, Adventure",,Documentary
74,74,Lucha Underground,2014,2018,8.9,60 ,1601,"Action, Drama, Sport",TV-14,Action
75,75,Zindagi Gulzar Hai,2012,2013,8.9,42 ,3832,Romance,,Romance
76,76,Some Good News,2020,,8.9,15 ,1199,"Comedy, News, Talk-Show",,Comedy
77,77,re: View,2016,,8.9,,1643,"Comedy, Talk-Show",,Comedy
78,78,Succession,2018,,8.8,60 ,157253,Drama,TV-MA,Drama
79,79,Peaky Blinders,2013,2022,8.8,60 ,563369,"Crime, Drama",TV-MA,Crime
80,80,Ted Lasso,2020,,8.8,30 ,228047,"Comedy, Drama, Sport",TV-MA,Comedy
81,81,It's Always Sunny in Philadelphia,2005,,8.8,22 ,229886,Comedy,TV-MA,Comedy
82,82,Black Mirror,2011,2019,8.8,60 ,557306,"Drama, Mystery, Sci-Fi",TV-MA,Drama
83,83,Narcos,2015,2017,8.8,49 ,429363,"Biography, Crime, Drama",TV-MA,Biography
84,84,Curb Your Enthusiasm,2000,,8.8,28 ,131421,Comedy,TV-MA,Comedy
85,85,BoJack Horseman,2014,2020,8.8,25 ,162662,"Animation, Comedy, Drama",TV-MA,Animation
86,86,Twin Peaks,1990,1991,8.8,47 ,200862,"Crime, Drama, Mystery",TV-MA,Crime
87,87,Fawlty Towers,1975,1979,8.8,30 ,94907,Comedy,TV-PG,Comedy
88,88,Freaks and Geeks,1999,2000,8.8,44 ,144931,"Comedy, Drama",TV-14,Comedy
89,89,Dragon Ball Z,1989,1996,8.8,24 ,133873,"Animation, Action, Adventure",TV-PG,Animation
90,90,Air Crash Investigation,2003,,8.8,46 ,5159,"Documentary, Crime, Drama",TV-14,Documentary
91,91,Steins;Gate,2011,2015,8.8,24 ,64291,"Animation, Comedy, Drama",TV-14,Animation
92,92,30 for 30,2009,,8.8,60 ,5152,"Documentary, Biography, History",TV-G,Documentary
93,93,Don't Hug Me I'm Scared,2022,,8.8,23 ,3337,"Animation, Comedy, Horror",TV-14,Animation
94,94,Monty Python's Flying Circus,1969,1974,8.8,30 ,75394,Comedy,TV-14,Comedy
95,95,Chappelle's Show,2003,2006,8.8,22 ,66357,"Comedy, Music",TV-MA,Comedy
96,96,Fighting Spirit,2000,2002,8.8,20 ,7426,"Animation, Action, Comedy",TV-PG,Animation
97,97,Forensic Files,1996,2011,8.8,30 ,6642,"Documentary, Crime",TV-14,Documentary
98,98,Horrible Histories,2009,2022,8.8,28 ,5381,"Comedy, Family, History",,Comedy
99,99,KinnPorsche the Series La 'forte,2022,,8.8,60 ,3695,"Action, Comedy, Romance",TV-MA,Action
